kecamatan,kepadatan_penduduk,jumlah_penduduk,year
Balubur Limbangan,1075,79100,2022
Banjarwangi,470,58200,2022
Banyuresmi,1933,92500,2022
Bayongbong,2201,104800,2022
Bungbulang,398,58500,2022
Caringin,329,32600,2022
Cibalong,213,45400,2022
Cibatu,1809,74900,2022
Cibiuk,1783,35500,2022
Cigedug,1431,44600,2022
Cihurip,467,18900,2022
Cikajang,682,85200,2022
Cikelet,263,45300,2022
Cilawu,1410,109400,2022
Cisewu,194,33500,2022
Cisompet,310,53400,2022
Cisurupan,1229,99400,2022
Garut,857,2627200,2022
Garut Kota,4619,128000,2022
Kadungora,2506,93500,2022
Karangpawitan,2689,140000,2022
Karangtengah,811,18900,2022
Kersamanah,2381,39300,2022
Leles,1157,85100,2022
Leuwigoong,2454,47500,2022
Malangbong,1429,132000,2022
Mekarmukti,339,18700,2022
Pakenjeng,347,68900,2022
Pameungpeuk,983,43400,2022
Pamulihan,142,18800,2022
Pangatikan,2172,42800,2022
Pasirwangi,1405,65600,2022
Peundeuy,424,24100,2022
Samarang,1315,78500,2022
Selaawi,1253,42700,2022
Singajaya,705,47700,2022
Sucinaraja,880,29800,2022
Sukaresmi,1150,40500,2022
Sukawening,1475,57300,2022
Talegong,265,28800,2022
Tarogong Kaler,1946,98400,2022
Tarogong Kidul,5986,116500,2022
Wanaraja,1396,49200,2022
Balubur Limbangan,1093,80400,2023
Banjarwangi,478,59100,2023
Banyuresmi,1973,94500,2023
Bayongbong,2252,107200,2023
Bungbulang,407,59800,2023
Caringin,336,33200,2023
Cibalong,217,46400,2023
Cibatu,1848,76600,2023
Cibiuk,1830,36400,2023
Cigedug,1468,45800,2023
Cihurip,475,19200,2023
Cikajang,696,87000,2023
Cikelet,268,46300,2023
Cilawu,1439,111700,2023
Cisewu,197,34000,2023
Cisompet,316,54400,2023
Cisurupan,1250,101100,2023
Garut,3065,2683700,2023
Garut Kota,4719,130800,2023
Kadungora,2556,95400,2023
Karangpawitan,2765,144000,2023
Karangtengah,832,19400,2023
Kersamanah,2432,40100,2023
Leles,1184,87000,2023
Leuwigoong,2514,48600,2023
Malangbong,1461,134900,2023
Mekarmukti,349,19300,2023
Pakenjeng,353,70100,2023
Pameungpeuk,1006,44400,2023
Pamulihan,145,19200,2023
Pangatikan,2220,43800,2023
Pasirwangi,1430,66800,2023
Peundeuy,432,24500,2023
Samarang,1343,80200,2023
Selaawi,1285,43800,2023
Singajaya,717,48600,2023
Sucinaraja,902,30500,2023
Sukaresmi,1174,41300,2023
Sukawening,1512,58700,2023
Talegong,269,29300,2023
Tarogong Kaler,1995,100900,2023
Tarogong Kidul,6102,118800,2023
Wanaraja,1427,50300,2023
Balubur Limbangan,1101,81000,2024
Banjarwangi,481,59600,2024
Banyuresmi,1998,95700,2024
Bayongbong,2284,108800,2024
Bungbulang,410,60300,2024
Caringin,340,33700,2024
Cibalong,220,47000,2024
Cibatu,1872,77500,2024
Cibiuk,1862,37100,2024
Cigedug,1494,46600,2024
Cihurip,480,19400,2024
Cikajang,704,88000,2024
Cikelet,272,46900,2024
Cilawu,1456,113100,2024
Cisewu,198,34200,2024
Cisompet,319,55000,2024
Cisurupan,1261,102000,2024
Garut,886,2717000,2024
Garut Kota,4757,131800,2024
Kadungora,2584,96400,2024
Karangpawitan,2820,146800,2024
Karangtengah,847,19700,2024
Kersamanah,2463,40600,2024
Leles,1200,88200,2024
Leuwigoong,2554,49400,2024
Malangbong,1480,136700,2024
Mekarmukti,355,19600,2024
Pakenjeng,356,70700,2024
Pameungpeuk,1019,45000,2024
Pamulihan,146,19400,2024
Pangatikan,2250,44400,2024
Pasirwangi,1443,67400,2024
Peundeuy,436,24800,2024
Samarang,1360,81200,2024
Selaawi,1305,44500,2024
Singajaya,724,49000,2024
Sucinaraja,916,31000,2024
Sukaresmi,1188,41800,2024
Sukawening,1536,59700,2024
Talegong,271,29500,2024
Tarogong Kaler,2029,102600,2024
Tarogong Kidul,6168,120000,2024
Wanaraja,1447,51000,2024
