kecamatan,year,curah_hujan
Balubur Limbangan,2022,329.27181789691866
Banjarwangi,2022,368.91692821969997
Banyuresmi,2022,309.9762771482664
Bayongbong,2022,303.0110471412581
Bungbulang,2022,355.6736518060529
Caringin,2022,348.097338831536
Cibalong,2022,352.5536567967277
Cibatu,2022,318.9070613512079
Cibiuk,2022,310.9098043655221
Cigedug,2022,339.1517981507907
Cihurip,2022,370.4146589437212
Cikajang,2022,337.68085940480324
Cikelet,2022,346.4972191868124
Cilawu,2022,331.51153711382557
Cisewu,2022,365.039860345004
Cisompet,2022,360.1305339004645
Cisurupan,2022,327.63722491569723
Garut Kota,2022,337.23660236195195
Kadungora,2022,305.5746985707267
Karangpawitan,2022,360.3758104525047
Karangtengah,2022,367.13155452846354
Kersamanah,2022,323.76699136314676
Leles,2022,320.9697932482257
Leuwigoong,2022,315.8767006149709
Malangbong,2022,333.6771826040069
Mekarmukti,2022,327.2440644532221
Pakenjeng,2022,349.6897671870108
Pameungpeuk,2022,332.0913541384774
Pamulihan,2022,360.6938710723798
Pangatikan,2022,357.96129391621645
Pasirwangi,2022,326.2153529428475
Peundeuy,2022,386.03963032503924
Samarang,2022,288.2964576554577
Selaawi,2022,330.6578670027547
Singajaya,2022,381.0825781949665
Sucinaraja,2022,378.73724747237367
Sukaresmi,2022,322.42164551382353
Sukawening,2022,337.25400332993866
Talegong,2022,373.88106897026734
Tarogong Kaler,2022,279.1150938866197
Tarogong Kidul,2022,277.3846572442869
Wanaraja,2022,361.244206857145
Balubur Limbangan,2023,208.4519511252225
Banjarwangi,2023,208.86951483056396
Banyuresmi,2023,190.61945943296647
Bayongbong,2023,186.58175063667045
Bungbulang,2023,195.35239781966644
Caringin,2023,188.99706195473632
Cibalong,2023,160.51521353938531
Cibatu,2023,204.32677247600907
Cibiuk,2023,202.0686109036476
Cigedug,2023,204.77754354260716
Cihurip,2023,198.6553163926535
Cikajang,2023,200.10292197419633
Cikelet,2023,164.92545400491662
Cilawu,2023,199.010152497167
Cisewu,2023,211.52230637957305
Cisompet,2023,181.0475377077373
Cisurupan,2023,200.43599478337362
Garut Kota,2023,202.6207907410758
Kadungora,2023,191.80254969018242
Karangpawitan,2023,214.3995684107513
Karangtengah,2023,219.74496515473598
Kersamanah,2023,207.665531477954
Leles,2023,201.42128356404248
Leuwigoong,2023,199.33074625105155
Malangbong,2023,211.28379460662856
Mekarmukti,2023,162.36220370182286
Pakenjeng,2023,187.53069568829645
Pameungpeuk,2023,149.8208085634018
Pamulihan,2023,212.17456639469768
Pangatikan,2023,212.28729966116484
Pasirwangi,2023,202.4607571508759
Peundeuy,2023,194.54985017811043
Samarang,2023,181.49306592648927
Selaawi,2023,209.99909556223145
Singajaya,2023,205.14462386666435
Sucinaraja,2023,223.42610096114785
Sukaresmi,2023,197.7941581249487
Sukawening,2023,207.02100406443745
Talegong,2023,220.64856717394866
Tarogong Kaler,2023,175.4998166702511
Tarogong Kidul,2023,171.79297395352543
Wanaraja,2023,213.83954518620246
Balubur Limbangan,2024,242.5177518183923
Banjarwangi,2024,273.69527711192364
Banyuresmi,2024,227.83587524584686
Bayongbong,2024,225.87858394708584
Bungbulang,2024,259.62251137680676
Caringin,2024,253.80469579289888
Cibalong,2024,242.35472480632515
Cibatu,2024,236.84021931663767
Cibiuk,2024,232.83095210184297
Cigedug,2024,251.00472879824687
Cihurip,2024,266.3995349727281
Cikajang,2024,254.52280598927612
Cikelet,2024,243.097638458838
Cilawu,2024,247.9439242049062
Cisewu,2024,271.89420783440863
Cisompet,2024,256.1034716414723
Cisurupan,2024,248.39098395048146
Garut Kota,2024,251.76455199435563
Kadungora,2024,230.276844209905
Karangpawitan,2024,264.57703130907487
Karangtengah,2024,264.92297434762247
Kersamanah,2024,235.12829884295897
Leles,2024,239.48875427635002
Leuwigoong,2024,234.72465017218084
Malangbong,2024,242.00073528418906
Mekarmukti,2024,230.4763294057493
Pakenjeng,2024,253.6774459157804
Pameungpeuk,2024,228.6726368321513
Pamulihan,2024,268.6328006982106
Pangatikan,2024,258.27794003211545
Pasirwangi,2024,249.74729714027845
Peundeuy,2024,269.2862662413975
Samarang,2024,221.09703302876053
Selaawi,2024,241.72308042698762
Singajaya,2024,275.54419021575967
Sucinaraja,2024,274.5430448311657
Sukaresmi,2024,244.52601938251902
Sukawening,2024,245.64342779015217
Talegong,2024,276.5875067021511
Tarogong Kaler,2024,209.51936721281564
Tarogong Kidul,2024,209.26471786531718
Wanaraja,2024,261.05377571542465
