kecamatan,year,temperature
Balubur Limbangan,2022,22.00632117630919
Banjarwangi,2022,20.914970843072215
Banyuresmi,2022,21.17075246393669
Bayongbong,2022,20.03047930434384
Bungbulang,2022,22.47954323612461
Caringin,2022,24.067885698127444
Cibalong,2022,24.35379597819598
Cibatu,2022,21.42843008267683
Cibiuk,2022,21.521306441224556
Cigedug,2022,19.57036923591127
Cihurip,2022,22.27065570344963
Cikajang,2022,20.542721794421844
Cikelet,2022,24.024183270785148
Cilawu,2022,20.9881301283325
Cisewu,2022,21.773808595930337
Cisompet,2022,23.81100620384882
Cisurupan,2022,18.857069355670607
Garut Kota,2022,21.140293043867143
Kadungora,2022,21.73951201289157
Karangpawitan,2022,21.21306582255802
Karangtengah,2022,21.042535412378726
Kersamanah,2022,21.19367767531039
Leles,2022,20.96283952216623
Leuwigoong,2022,21.470368620207182
Malangbong,2022,21.49241301630177
Mekarmukti,2022,23.800180018821035
Pakenjeng,2022,22.37766957643478
Pameungpeuk,2022,24.91544511818323
Pamulihan,2022,20.098423668737183
Pangatikan,2022,21.139007071981606
Pasirwangi,2022,18.45085474726231
Peundeuy,2022,23.40084214673961
Samarang,2022,19.43683582031781
Selaawi,2022,22.31307383928122
Singajaya,2022,21.934971246600487
Sucinaraja,2022,21.171848488016625
Sukaresmi,2022,18.683661981370683
Sukawening,2022,21.153245903848738
Talegong,2022,19.60149331518523
Tarogong Kaler,2022,20.474457775341595
Tarogong Kidul,2022,21.09270020000847
Wanaraja,2022,21.15632249806417
Balubur Limbangan,2023,22.414879281340106
Banjarwangi,2023,20.94691844697209
Banyuresmi,2023,21.20925909750582
Bayongbong,2023,20.125945633982713
Bungbulang,2023,22.465731766558367
Caringin,2023,24.010511906195987
Cibalong,2023,24.263376721443972
Cibatu,2023,21.65191689393018
Cibiuk,2023,21.737578811411947
Cigedug,2023,19.684265178820606
Cihurip,2023,22.25807805401622
Cikajang,2023,20.55896027681047
Cikelet,2023,23.88098846905245
Cilawu,2023,20.98914876376019
Cisewu,2023,21.786864013018985
Cisompet,2023,23.71729151429435
Cisurupan,2023,19.01146638481278
Garut Kota,2023,21.177229468498453
Kadungora,2023,21.947636548614685
Karangpawitan,2023,21.25375374565087
Karangtengah,2023,21.134691263067186
Kersamanah,2023,21.449269639495075
Leles,2023,21.1105941306682
Leuwigoong,2023,21.63853999194122
Malangbong,2023,21.792964814284744
Mekarmukti,2023,23.730163955611193
Pakenjeng,2023,22.353970209552003
Pameungpeuk,2023,24.713173141636588
Pamulihan,2023,20.17857643266704
Pangatikan,2023,21.206006661106834
Pasirwangi,2023,18.674839187818794
Peundeuy,2023,23.37322307314938
Samarang,2023,19.594250155457818
Selaawi,2023,22.760049495056546
Singajaya,2023,21.953945046633127
Sucinaraja,2023,21.2302842434182
Sukaresmi,2023,18.892165102018865
Sukawening,2023,21.233594257864244
Talegong,2023,19.662012232469902
Tarogong Kaler,2023,20.5551500840626
Tarogong Kidul,2023,21.12718317317444
Wanaraja,2023,21.218806860754974
Balubur Limbangan,2024,22.63971809983156
Banjarwangi,2024,21.39711589535251
Banyuresmi,2024,21.56192406486869
Bayongbong,2024,20.45772191455622
Bungbulang,2024,22.9403968212028
Caringin,2024,24.51794099103674
Cibalong,2024,24.80205198243057
Cibatu,2024,21.962195161312845
Cibiuk,2024,22.0388327950398
Cigedug,2024,20.05416829878214
Cihurip,2024,22.744878599497543
Cikajang,2024,21.001407353128677
Cikelet,2024,24.464680228658988
Cilawu,2024,21.375718039900534
Cisewu,2024,22.21344783845127
Cisompet,2024,24.259309878139835
Cisurupan,2024,19.35747034740337
Garut Kota,2024,21.519075873044187
Kadungora,2024,22.224039356969726
Karangpawitan,2024,21.621447552276063
Karangtengah,2024,21.54840890571028
Kersamanah,2024,21.779103187669794
Leles,2024,21.391915532220164
Leuwigoong,2024,21.952782027349034
Malangbong,2024,22.102922439130392
Mekarmukti,2024,24.256401415039786
Pakenjeng,2024,22.84623400690035
Pameungpeuk,2024,25.34350149785026
Pamulihan,2024,20.582374152808445
Pangatikan,2024,21.600692689103024
Pasirwangi,2024,18.94165234797538
Peundeuy,2024,23.864530609365655
Samarang,2024,19.867776058980322
Selaawi,2024,22.972583101346924
Singajaya,2024,22.43914566295554
Sucinaraja,2024,21.618491423875017
Sukaresmi,2024,19.159708557164375
Sukawening,2024,21.62418440455167
Talegong,2024,20.028445905105134
Tarogong Kaler,2024,20.859773872164762
Tarogong Kidul,2024,21.452125573318394
Wanaraja,2024,21.6100769579171
